f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8729064039408867,0.9216366158113731,0.8290704928259514,0.8880591451946065,0.05295220243673852,2021,113,274,1329,Camera Only,0.6900000000000001,0,0.0
0.8073499856445593,0.747872340425532,0.877105427323768,0.8274936696131492,0.22211808809746955,1660,474,197,1406,Accelerometer Only,0.45,0,0.0
0.8726603252531452,0.8586956521739131,0.8870867124142233,0.8887167395248249,0.10965323336457357,1900,234,181,1422,Mean Late Fusion,0.52,0,0.0
0.87174778083869,0.8557692307692307,0.8883343730505302,0.8879347591588171,0.11246485473289597,1894,240,179,1424,Max OR Fusion,0.7100000000000001,0,0.0
0.8604930847865304,0.8305281485780616,0.8927011852776044,0.8779344726762905,0.13683223992502344,1842,292,172,1431,Min Agreement Fusion,0.28,0,0.0
0.8733353979560236,0.8671586715867159,0.8796007485963818,0.8891911896683877,0.10121836925960637,1918,216,193,1410,Product Agreement Fusion,0.24000000000000002,0,0.0
0.8730498623432242,0.8565426170468188,0.8902058640049907,0.8891048064167408,0.11199625117150891,1895,239,176,1427,Naive Independence,0.81,0,0.0
0.8543882978723404,0.9145907473309609,0.801621958827199,0.8726947657303755,0.056232427366447985,2014,120,318,1285,Rule AND Tuned,0.49,0,0.0
0.87174778083869,0.8557692307692307,0.8883343730505302,0.8879347591588171,0.11246485473289597,1894,240,179,1424,Rule OR Tuned,0.7100000000000001,0,0.0
0.8878048780487805,0.9273097826086957,0.851528384279476,0.90069390160553,0.05014058106841612,2027,107,238,1365,Calibrated Logistic Fusion,0.76,0,0.0
0.8957133717210493,0.9192383453709784,0.8733624454148472,0.9078621036821191,0.057638238050609185,2011,123,203,1400,Temporal Logistic Fusion,0.7100000000000001,0,0.0
0.8952562878064311,0.9141742522756827,0.877105427323768,0.9076248786103376,0.061855670103092786,2002,132,197,1406,Temporal Extra Trees,0.54,0,0.0
0.8928571428571429,0.8967904342353682,0.8889582033686837,0.9060536096506024,0.07685098406747891,1970,164,178,1425,Temporal Random Forest,0.46,0,0.0
0.8877236273904997,0.8779743746186699,0.8976918278228322,0.9019855577727094,0.09372071227741331,1934,200,164,1439,Temporal HistGradientBoosting,0.33,0,0.0
0.8701938876109103,0.9194444444444444,0.825951341235184,0.8857966640571422,0.05435801312089972,2018,116,279,1324,Camera Only,0.7000000000000001,0,0.2
